['9:42.956', '2:51.298', '4:11.282', '2:40.375']
['9:16.58', '2:44.138', '3:59.124', '2:33.318']
['9:13.566', '2:42.924', '3:50.71', '2:39.931']
['9:10.753', '2:43.564', '3:42.924', '2:44.264']
['9:10.334', '2:49.549', '3:55.11', '2:25.675']
['9:18.239', '2:48.273', '3:41.484', '2:48.482']
['9:47.914', '2:42.223', '4:08.287', '2:57.405']
['9:04.008', '2:46.183', '3:48.213', '2:29.612']
['9:27.075', '2:42.092', '3:51.711', '2:53.273']
['11:20.561', '2:39.603', '5:18.547', '3:22.411']
['9:18.171', '2:40.676', '3:44.378', '2:53.117']
['21:44.947', '2:37.373', '4:13.647', '14:53.926']
['8:50.501', '2:39.674', '3:40.534', '2:30.293']
['9:10.719', '2:40.188', '3:48.506', '2:42.025']
['9:08.755', '2:54.18', '3:39.21', '2:35.365']
