total, Cap, Caskade, Sand, Lake, Wood, Cloud, Lost, Night Metro, Day Metro, Snow, Beach, Luncheon, Ruined, Bunnies, Bowsers, Moon
[5885.176, 150.089, 217.997, 703.651, 188.471, 609.644, 103.505, 206.682, 247.527, 550.602, 469.983, 526.024, 703.998, 208.189, 321.391, 289.085, 388.337]
[5909.214, 150.013, 213.206, 650.46, 189.616, 646.818, 102.763, 158.153, 290.056, 533.903, 656.13, 501.595, 640.077, 205.489, 374.128, 238.649, 358.158]
[5886.631, 151.618, 209.762, 633.972, 185.696, 662.806, 120.41, 155.832, 276.61, 554.723, 666.319, 487.031, 637.889, 201.997, 321.658, 258.169, 362.139]
[5606.893, 152.618, 205.782, 666.921, 187.019, 622.259, 102.521, 160.628, 228.203, 509.126, 467.409, 550.538, 598.801, 201.99, 325.667, 252.819, 374.593]
[5519.682, 149.895, 204.382, 651.694, 188.086, 595.059, 103.641, 158.055, 243.774, 508.281, 447.349, 496.971, 599.038, 207.536, 328.691, 254.37, 382.858]
[5592.189, 153.644, 209.087, 611.255, 185.484, 581.421, 100.139, 164.974, 227.13, 488.754, 502.029, 488.533, 618.741, 201.562, 365.285, 265.808, 428.343]
[5470.37, 150.807, 204.67, 627.191, 190.185, 598.476, 104.806, 165.056, 261.115, 507.595, 468.666, 434.357, 603.782, 202.51, 344.428, 238.074, 368.653]
[5499.262, 150.219, 209.677, 628.108, 189.993, 615.308, 102.134, 157.558, 243.197, 517.31, 446.62, 431.292, 662.592, 204.341, 322.121, 264.562, 354.231]
[5515.634, 151.862, 204.989, 638.931, 193.861, 543.026, 101.378, 157.991, 254.064, 505.92, 428.997, 426.924, 663.128, 204.622, 317.224, 311.166, 411.551]
[5419.073, 149.845, 209.477, 620.715, 187.407, 586.091, 108.575, 166.601, 227.393, 551.789, 405.611, 463.012, 604.077, 202.477, 312.732, 260.837, 362.434]
[5479.2, 150.945, 207.779, 632.8, 186.917, 533.384, 101.62, 164.229, 266.601, 484.672, 516.692, 435.39, 647.294, 200.544, 321.4, 252.106, 376.827]
[5436.663, 154.751, 204.008, 616.238, 189.556, 559.691, 100.153, 158.547, 281.373, 522.001, 426.263, 424.152, 641.397, 201.586, 320.321, 281.604, 355.022]
[5314.904, 148.338, 211.825, 609.74, 186.683, 546.486, 100.401, 166.229, 262.576, 483.483, 428.393, 412.439, 636.611, 202.459, 318.243, 243.058, 357.94]
[5385.037, 148.127, 206.072, 617.825, 185.87, 536.48, 101.708, 154.204, 250.564, 571.528, 408.748, 419.346, 597.764, 200.548, 334.843, 262.965, 388.445]
[5325.436, 148.517, 204.592, 615.135, 210.631, 532.335, 101.577, 158.27, 276.232, 483.623, 440.791, 409.175, 609.738, 201.85, 323.956, 249.666, 359.347]
