total, Cap, Cascade, Nipple
[582.956, 171.298, 251.282, 160.375]
[556.58, 164.138, 239.124, 153.318]
[553.566, 162.924, 230.71, 159.931]
[550.753, 163.564, 222.924, 164.264]
[550.334, 169.549, 235.11, 145.675]
[558.239, 168.273, 221.484, 168.482]
[587.914, 162.223, 248.287, 177.405]
[544.008, 166.183, 228.213, 149.612]
[567.075, 162.092, 231.711, 173.273]
[680.561, 159.603, 318.547, 202.411]
[558.171, 160.676, 224.378, 173.117]
[1304.947, 157.373, 253.647, 893.926]
[530.501, 159.674, 220.534, 150.293]
[550.719, 160.188, 228.506, 162.025]
[548.755, 174.18, 219.21, 155.365]
