total, Cap, Caskade, Sand, Lake, Wood, Cloud, Lost, Night Metro, Day Metro, Snow, Beach, Luncheon, Ruined, Bunnies, Bowsers, Moon
[5885.176, 150.089, 217.997, 703.651, 188.471, 609.644, 103.505, 206.682, 247.527, 550.602, 469.983, 526.024, 703.998, 208.189, 321.391, 289.085, 388.337]
[5909.214, 150.013, 213.206, 650.46, 189.616, 646.818, 102.763, 158.153, 290.056, 533.903, 656.13, 501.595, 640.077, 205.489, 374.128, 238.649, 358.158]
[5886.631, 151.618, 209.762, 633.972, 185.696, 662.806, 120.41, 155.832, 276.61, 554.723, 666.319, 487.031, 637.889, 201.997, 321.658, 258.169, 362.139]
[5606.893, 152.618, 205.782, 666.921, 187.019, 622.259, 102.521, 160.628, 228.203, 509.126, 467.409, 550.538, 598.801, 201.99, 325.667, 252.819, 374.593]
[5519.682, 149.895, 204.382, 651.694, 188.086, 595.059, 103.641, 158.055, 243.774, 508.281, 447.349, 496.971, 599.038, 207.536, 328.691, 254.37, 382.858]
[5592.189, 153.644, 209.087, 611.255, 185.484, 581.421, 100.139, 164.974, 227.13, 488.754, 502.029, 488.533, 618.741, 201.562, 365.285, 265.808, 428.343]
[5470.37, 150.807, 204.67, 627.191, 190.185, 598.476, 104.806, 165.056, 261.115, 507.595, 468.666, 434.357, 603.782, 202.51, 344.428, 238.074, 368.653]
[5499.262, 150.219, 209.677, 628.108, 189.993, 615.308, 102.134, 157.558, 243.197, 517.31, 446.62, 431.292, 662.592, 204.341, 322.121, 264.562, 354.231]
[5515.634, 151.862, 204.989, 638.931, 193.861, 543.026, 101.378, 157.991, 254.064, 505.92, 428.997, 426.924, 663.128, 204.622, 317.224, 311.166, 411.551]
[5419.073, 149.845, 209.477, 620.715, 187.407, 586.091, 108.575, 166.601, 227.393, 551.789, 405.611, 463.012, 604.077, 202.477, 312.732, 260.837, 362.434]
[5479.2, 150.945, 207.779, 632.8, 186.917, 533.384, 101.62, 164.229, 266.601, 484.672, 516.692, 435.39, 647.294, 200.544, 321.4, 252.106, 376.827]
[5436.663, 154.751, 204.008, 616.238, 189.556, 559.691, 100.153, 158.547, 281.373, 522.001, 426.263, 424.152, 641.397, 201.586, 320.321, 281.604, 355.022]
[5314.904, 148.338, 211.825, 609.74, 186.683, 546.486, 100.401, 166.229, 262.576, 483.483, 428.393, 412.439, 636.611, 202.459, 318.243, 243.058, 357.94]
[5385.037, 148.127, 206.072, 617.825, 185.87, 536.48, 101.708, 154.204, 250.564, 571.528, 408.748, 419.346, 597.764, 200.548, 334.843, 262.965, 388.445]
[5325.436, 148.517, 204.592, 615.135, 210.631, 532.335, 101.577, 158.27, 276.232, 483.623, 440.791, 409.175, 609.738, 201.85, 323.956, 249.666, 359.347]
[5364.286, 149.355, 204.457, 634.37, 196.412, 544.513, 101.777, 171.783, 253.769, 510.246, 414.224, 403.295, 610.364, 201.448, 327.879, 254.754, 385.64]
[5411.164, 152.351, 206.725, 605.281, 186.23, 526.742, 102.109, 155.702, 274.399, 595.139, 441.094, 418.775, 590.943, 203.837, 332.355, 247.145, 372.338]
[5434.135, 150.293, 203.541, 651.438, 191.671, 536.66, 99.89, 154.077, 225.211, 485.855, 463.49, 442.634, 626.322, 208.391, 321.363, 289.347, 383.953]
[5475.959, 148.871, 205.487, 607.888, 187.298, 530.029, 101.308, 165.543, 234.278, 568.077, 392.47, 427.972, 594.58, 206.075, 324.326, 242.805, 538.952]
[5376.725, 151.218, 205.691, 622.277, 191.209, 568.846, 109.858, 158.053, 250.691, 480.845, 442.528, 385.988, 611.555, 202.609, 338.066, 286.302, 370.989]
[5242.812, 150.472, 204.393, 601.421, 191.551, 550.414, 109.477, 156.345, 237.205, 489.714, 405.875, 380.447, 589.211, 202.865, 329.946, 282.379, 361.097]
[5222.793, 149.404, 213.666, 597.654, 185.917, 546.889, 102.863, 156.465, 235.029, 484.617, 401.737, 408.625, 600.386, 202.954, 321.148, 250.776, 364.662]
[5642.301, 149.661, 202.362, 613.963, 186.15, 538.157, 95.064, 171.438, 228.885, 474.979, 567.456, 425.289, 724.805, 205.675, 349.462, 285.968, 422.987]
[5229.673, 149.732, 202.799, 586.769, 187.226, 526.982, 95.631, 153.373, 247.505, 486.45, 399.359, 435.946, 565.152, 201.812, 334.196, 245.132, 411.609]
[5387.941, 148.02, 204.747, 605.541, 183.235, 559.202, 104.791, 149.87, 246.98, 499.7, 415.24, 429.141, 640.442, 205.965, 360.668, 252.59, 381.81]
