['1:38:05.176', '2:30.089', '3:37.997', '11:43.651', '3:08.471', '10:09.644', '1:43.505', '3:26.682', '4:07.527', '9:10.602', '7:49.983', '8:46.024', '11:43.998', '3:28.189', '5:21.391', '4:49.085', '6:28.337']
['1:38:29.214', '2:30.013', '3:33.206', '10:50.46', '3:09.616', '10:46.818', '1:42.763', '2:38.153', '4:50.056', '8:53.903', '10:56.13', '8:21.595', '10:40.077', '3:25.489', '6:14.128', '3:58.649', '5:58.158']
['1:38:06.631', '2:31.618', '3:29.762', '10:33.972', '3:05.696', '11:02.806', '2:00.41', '2:35.832', '4:36.61', '9:14.723', '11:06.319', '8:07.031', '10:37.889', '3:21.997', '5:21.658', '4:18.169', '6:02.139']
['1:33:26.893', '2:32.618', '3:25.782', '11:06.921', '3:07.019', '10:22.259', '1:42.521', '2:40.628', '3:48.203', '8:29.126', '7:47.409', '9:10.538', '9:58.801', '3:21.99', '5:25.667', '4:12.819', '6:14.593']
['1:31:59.682', '2:29.895', '3:24.382', '10:51.694', '3:08.086', '9:55.059', '1:43.641', '2:38.055', '4:03.774', '8:28.281', '7:27.349', '8:16.971', '9:59.038', '3:27.536', '5:28.691', '4:14.37', '6:22.858']
['1:33:12.189', '2:33.644', '3:29.087', '10:11.255', '3:05.484', '9:41.421', '1:40.139', '2:44.974', '3:47.13', '8:08.754', '8:22.029', '8:08.533', '10:18.741', '3:21.562', '6:05.285', '4:25.808', '7:08.343']
['1:31:10.37', '2:30.807', '3:24.67', '10:27.191', '3:10.185', '9:58.476', '1:44.806', '2:45.056', '4:21.115', '8:27.595', '7:48.666', '7:14.357', '10:03.782', '3:22.51', '5:44.428', '3:58.074', '6:08.653']
['1:31:39.262', '2:30.219', '3:29.677', '10:28.108', '3:09.993', '10:15.308', '1:42.134', '2:37.558', '4:03.197', '8:37.31', '7:26.62', '7:11.292', '11:02.592', '3:24.341', '5:22.121', '4:24.562', '5:54.231']
['1:31:55.634', '2:31.862', '3:24.989', '10:38.931', '3:13.861', '9:03.026', '1:41.378', '2:37.991', '4:14.064', '8:25.92', '7:08.997', '7:06.924', '11:03.128', '3:24.622', '5:17.224', '5:11.166', '6:51.551']
['1:30:19.073', '2:29.845', '3:29.477', '10:20.715', '3:07.407', '9:46.091', '1:48.575', '2:46.601', '3:47.393', '9:11.789', '6:45.611', '7:43.012', '10:04.077', '3:22.477', '5:12.732', '4:20.837', '6:02.434']
['1:31:19.2', '2:30.945', '3:27.779', '10:32.8', '3:06.917', '8:53.384', '1:41.62', '2:44.229', '4:26.601', '8:04.672', '8:36.692', '7:15.39', '10:47.294', '3:20.544', '5:21.4', '4:12.106', '6:16.827']
